Name,SMILES,Activation Status
All-trans retinoic acid,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,1
Alpha ketoglutarate,C(CC(=O)O)C(=O)C(=O)O,1
Bromopyruvate,C(C(=O)C(=O)O)Br,1
Gold sodium thiomalate,C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+],1
Green tea extract,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,1
Metformin,CN(C)C(=N)N=C(N)N,1
Nordihydroguaiaretic acid,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,1
NP1,C1CN(CCN1CC2=CNC3=CC=CC=C32)C4=CC=C(C=C4)[N+](=O)[O-],1
Propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,1
Propyl gallate,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,1
Resveratrol,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,1
Sulforaphane,CS(=O)CCCCN=C=S,1
Thioflavin T,CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C.[Cl-],1
Urolithin a,C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O,1
Alpha lipoic acid,C1CSSC1CCCCC(=O)O,1
Berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,1
Bromocriptine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,1
Coumarin 478,C1CC2=C(C1)C(=O)OC3=C2C=C4CCCN5C4=C3CCC5,1
Echinatin,COC1=C(C=CC(=C1)O)/C=C/C(=O)C2=CC=C(C=C2)O,1
Fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,1
Fluspirilene,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,1
Rapamycin,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,1
Sitagliptin,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,1
17-Alpha estradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O,1
Obeticholic acid,CC[C@@H]1[C@@H]2C[C@@H](CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3[C@@H]1O)CC[C@@H]4[C@H](C)CCC(=O)O)C)C)O,1
Ritonavir,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,1
Aloin,C1=CC2=C(C(=C1)O)C(=O)C3=C([C@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C=C(C=C3O)CO,1
Alpha mangostin,CC(=CCC1=C(C2=C(C=C1O)OC3=C(C2=O)C(=C(C(=C3)O)OC)CC=C(C)C)O)C,1
Arecoline,CN1CCC=C(C1)C(=O)OC,1
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1
Bakuchiol,CC(=CCC[C@@](C)(C=C)/C=C/C1=CC=C(C=C1)O)C,1
Beta GPA,C(CN=C(N)N)C(=O)O,1
Bortezomib,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,1
Cinnarizine,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,1
Curcumin,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,1
Dapagliflozin,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl,1
Dasatinib,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,1
AZD7545,C[C@@](C(=O)NC1=C(C=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)N(C)C)Cl)(C(F)(F)F)O,0
Aldosterone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O,0
Diuron,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,0
Emapunil,CCN(CC1=CC=CC=C1)C(=O)CN2C3=NC(=NC=C3N(C2=O)C)C4=CC=CC=C4,0
Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,0
Everolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,0
Fumagillol,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)OC)C,0
Gamma linolenic acid,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,0
Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,0
Glipizide,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,0
Lactulose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,0
Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0
Levetiracetam,CC[C@@H](C(=O)N)N1CCCC1=O,0
C1,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,0
C2,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,0
C3,C#CCO[C@@H]1CC[C@@H](N(C1)C(=O)N2N=CC(=N2)C(C3=CC=C(C=C3)F)(C4=CC=C(C=C4)F)O)CC5=CC=CC=C5,0
C4,C1CN2C(CN1CC3=CC=C(C=C3)Cl)C(=O)N(C2=O)OC(=O)N4CCOC5=CC=CC=C54,0
C5,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl,0
C6,COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC,0
C7,CC(=O)N[C@@H](CS)C(=O)O,0
C8,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,0
C9,C1CCN(C(C1)CC2=CC=CC=C2)C(=O)N3C=C(N=N3)C4=CC=C(C=C4)C5=CC=CC=C5,0
C10,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,0
C11,CC(C)(C=C)C1=C(C=C(C(=C1)/C=C/C(=O)C2=CC=C(C=C2)O)OC)O,0
C12,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.Cl,0
C13,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F,0
C14,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,0
C15,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+],0
C16,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,0
C17,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,0
C18,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl,0
C19,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,0
C20,COC(=O)N1C(=O)[C@@](N1C(=O)OC)(C2CCCC2)C3=CC=CC=C3,0
C21,C1CCN(C1)C(=O)N2C=CN=N2,0
C22,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,0
C23,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O,0
C24,C1CN(CCC1=CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=NN=CC=C4,0
C25,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4],0
C26,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,0
C27,CC(=O)/C=C\1/C2=CC=CC=C2N(C1=O)C,0
C28,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,0
C29,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,0
C30,CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCC2=CC(=C(C=C2)OC)OC,0
C31,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,0
C32,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-],0
C33,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,0
C34,COC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CN(N=N3)C(=O)N4CCCCC4C5=CC=CC=C5,0
C35,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,0
C36,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,0
C37,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,0
C38,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,0
C39,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,0
C40,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl,0
C41,CC1=CC(=CC=C1)C2CN(CCC3=C(C(=C(C=C23)O)O)Cl)C.Br,0
C42,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,0
C43,C1=CC=C(C=C1)CCC2/C(=C/CCCCC(=O)N)/C(=O)O2,0
C44,CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C,0
C45,CC[N+](CC)(CC)CCOC1=CC=C(C=C1)/C=C/C2=CC=CC=C2.[I-],0
C46,CC1=CC2=C(C=C1)OC/C(=C\C3=CC(=C(C=C3)OC)O)/C2=O,0
C47,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,0
C48,C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC(C(F)(F)F)C(F)(F)F,0
C49,C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O.Cl,0
C50,CCCC[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],0
C51,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,0
C52,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2.Cl,0
C53,CC(C)C1=CC=CC=C1OC(=O)NCCC2=CC3=CC=CC=C3C=C2,0
C54,C[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC7=CNC8=CC=CC=C87)C(=O)NCCO)NC(=O)CNC(=O)[C@H](C(C)C)NC=O,0
C55,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],0
C56,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,0
C57,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C,0
C58,C1=CC=C(C=C1)CCNN.OS(=O)(=O)O,0
C59,C1CC(CCC1NC(=O)COC2=CC=C(C=C2)Cl)NC(=O)COC3=CC=C(C=C3)Cl,0
C60,CC(=CCC/C(=C/COC1=CC2=C(C=C1)C=CC(=O)O2)/C)C,0
C61,CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C,0
C62,CC1(C2CCC(C1C2)CCOCC[N+]3(CCOCC3)CC4=CC(=C(C=C4Br)OC)OC)C.[Br-],0
C63,C[N+](C)(C)CCO.[Cl-],0
C64,CN1CCC2=CC(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)Cl.Cl,0
C65,C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N,0
C66,CCN1C(=O)C(NC1=O)C2=CC=CC=C2,0
C67,CN1C=NC2=C1C(=O)NC(=O)N2C,0
C68,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,0
C69,CC(C)(C)[C@]1(CCN2C[C@@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@H]2C1)O.Cl,0
C70,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,0
C71,C1=CNC(=O)NC1=O,0
C72,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,1
C73,CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl.CC1=CC=C(C=C1)S(=O)(=O)[O-],1
C74,C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC=C(C=C3)O)O,1
C75,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,1
C76,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,1
C77,C1=CC=C(C=C1)C2=CC(=O)C3=CC(=C(C=C3O2)O)O,1
C78,C1=CC=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=CS3)C4=CC=CC=C4Cl.O,1
C79,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,1
C80,C1=CC=C(C=C1)P2(=S)NC3=CC=CC=C3O2,1
C81,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O,1
C82,COCCNC(=O)COC1=CC=C(C=C1)OCCNC[C@@H](COC2=CC=CC=C2)O.Cl,1
C83,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.Cl,1
C84,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,1
C85,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O.Cl,1
C86,CC[N+](CC)(CC)CC.[Cl-],1
C87,C[C@]12CC[C@@]34C[C@@]35CC[C@@H](C([C@@H]5[C@H](C[C@H]4[C@@]1(C[C@@H]([C@@H]2[C@]6(CC[C@H](O6)C(C)(C)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O,1
C88,CCOC(=O)N1CCN(CC1)/[N+](=N/OC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])/[O-],1
C89,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)/C)OC)OC(=O)N)\C)C)O)OC,1
C90,C1COCCN1[N+]2=CC(=N)O[N-]2.Cl,1
C91,CC(=O)O[C@@H]1C[C@@H]2[C@](C=CC(=O)C2(C)C)([C@@H]3[C@@]1([C@]45[C@H](O4)C(=O)O[C@H]([C@@]5(CC3)C)C6=COC=C6)C)C,1
C92,CN1C2=C(C(=O)NC1=O)NC=N2,1
C93,C([C@@H]1[C@H]([C@H]([C@H](C(O1)O)N)O)O)O,1
C94,CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCCCS(=O)(=O)CCCN(C)C,1
C95,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.OS(=O)(=O)O,1
C96,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+],1
C97,COC1=CC=CC(=C1O)O,1
C98,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,1
C99,C1[C@H](ON=C1Cl)[C@@H](C(=O)O)N,1
C100,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)SC)C=CC(=C2)F)CC(=O)O,1
C101,CN(C)C(=O)/N=N/C(=O)N(C)C,1
C102,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,1
C103,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,1
C104,C1=CC=C(C=C1)C2=CN3C(=N2)SC(=N3)S(=O)(=O)N,1
C105,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)ON3C(=O)C4CN(CCN4C3=O)CC5CCN(CC5)CC6=CC=CC=C6,1
C106,C1CCC(CC1)NC(=O)OC2=CC=CC(=C2)C3=CC(=CC=C3)C(=O)N,1
C107,C([C@H](C([C@H](CO)O)O)O)O,1
C108,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,1
C109,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,1
C110,CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F,1
C111,CCCCN1CCCC1CNC(=O)C2=C(C3=CC=CC=C3C(=C2)C#N)OC,1
C112,C([C@H]([C@@H](CS)O)O)S,1
C113,CC1=CC=C(O1)/C=N/NC(=O)C2=CC=CC=C2OC3=CC=CC=C3,1
C114,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,1
C115,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,1
C116,COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O,1
C117,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,1
C118,CC(=CCO)C,1
C119,C1[C@H]2[C@H](CO[C@@H]2OC3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6,1
C120,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC.CS(=O)(=O)O,1
C121,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=C[N+](=CC=C3)[O-],1
C122,C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O,1
C123,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,1
C124,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)NC(=C)C(=O)N[C@H](C(=O)N[C@]23CCC(=N[C@@H]2C4=CSC(=N4)[C@H]([C@H](OC(=O)C5=NC6=C(C=C[C@H]([C@@H]6O)N1)C(=C5)[C@H](C)O)C)NC(=O)C7=CSC(=N7)[C@@H](NC(=O)[C@H]8CSC(=N8)/C(=C/C)/NC(=O)[C@@H](NC(=O)C9=CSC3=N9)[C@@H](C)O)[C@@](C)([C@@H](C)O)O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(=O)N)C)C,1
C125,CCCCN(CC)C1=NC(=NC2=C1C(=C(N2C3=C(C=C(C=C3C)C)C)C)C)C,1
C126,C1(C(C(C(C(C1O)O)O)O)O)O,1
C127,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl,1
C128,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,1
C129,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,1
C130,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,1
C131,CC1=C(N(C(=C1)CC(=O)[O-])C)C(=O)C2=CC=C(C=C2)Cl.[Na+],1
C132,CCN1CCC[C@H]1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,1
C133,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,1
C134,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl,1
C135,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3)O)O,1
C136,C1CCN(C(C1)CC2=CC=CC=C2)C(=O)N3C=C(N=N3)C4=CC=C(C=C4)C5=CC(=CC=C5)C(=O)O,1
C137,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C,1
C138,CN1C(=O)C2=C(NC1=O)N=CN2,1
C139,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N.OS(=O)(=O)O,1
C140,C(CCN=C(N)N)CN,1
C141,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,1
C142,CC1=C(N=C(C(=N1)C)C)C,1
C143,CC1=CNC(=O)NC1=O,1
C144,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,1
C145,C([C@@H](C(=O)O)N)[Se],1
C146,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],1
C147,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCCCCCCCCCC,1
C148,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O,1
C149,CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O,1
C150,C1/C(=C\C2=CC(=C(C=C2)O)O)/C(=O)C3=C(O1)C=C(C=C3)O,1
C151,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,1
C152,CC(=C)CCO,1
C153,C(C(=O)O)N,1
C154,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,1
C155,CN1C=NC2=C1C(=O)NC(=O)N2,1
C156,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,1
C157,C1OC2=C(O1)C=C(C=C2)O,1
