Compound,Life_extended,CAS Number,SMILES
,1,,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N.OS(=O)(=O)O
,1,,C(CCN=C(N)N)CN
,1,,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
,1,,CC1=C(N=C(C(=N1)C)C)C
,1,,CC1=CNC(=O)NC1=O
,1,,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O
,1,,C([C@@H](C(=O)O)N)[Se]
,1,,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]
,1,,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCCCCCCCCCCCC
,1,,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3.C(=C\C(=O)O)\C(=O)O.C(=C\C(=O)O)\C(=O)O
,1,,CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O
,1,,C1/C(=C\C2=CC(=C(C=C2)O)O)/C(=O)C3=C(O1)C=C(C=C3)O
,1,,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
,1,,CC(=C)CCO
,1,,C(C(=O)O)N
,1,,C1=CC(=C(C=C1/C=C/C(=O)O)O)O
,1,,CN1C=NC2=C1C(=O)NC(=O)N2
,1,,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
,1,,C1OC2=C(O1)C=C(C=C2)O
,1,,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl
,1,,CC1=C(C(C[C@@H](C1=O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)\C)\C)/C)/C
,1,,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
,1,,C[N+](C)(C)C[C@@H](CC(=O)[O-])O
,1,,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N.O
,1,,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O
,1,,C1C(=O)NC2=C(C=C(C=C2)Cl)C(S1)C3=CC=CC=C3Cl
,1,,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-]
,1,,[Hf]
,1,,CC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)C
,1,,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C
,1,,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C
,1,,COC1=CC=CC=C1C2=CC=C(C=C2)C3=CN(N=N3)C(=O)N4CCCCC4CC5=CC=CC=C5
,1,,CCCC(CCC)C(=O)O
,1,,COC1=C(C=CC(=C1)C[C@@H](CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)[C@@H](CC3=CC(=C(C=C3)O)OC)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
,1,,C12=C(NC(=O)N1)NC(=O)NC2=O
,1,,C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N
,1,,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O
,1,,CN1C=NC2=C1C(=O)N(C(=O)N2)C
,1,,C1=C(NC(=O)NC1=O)C(=O)[O-]
,1,,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/C2=CC(=C(C=C2)O)O)C(=O)O)O)O
,1,,CC(C)C1=C(C(=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C(=O)O)O)O
,1,,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
,1,,CN1C2=C(C(=O)N(C1=O)C)NC=N2
,1,,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
,1,,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O
,1,,CCCCCCCCCCCCCC1/C(=C/CCCCC(=O)N)/C(=O)O1
,1,,C(CS(=O)O)N
,1,,CCCCCCCC(=O)C1=CC(=C(C=C1)O)C(=O)O
,1,,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)O
,1,,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C
,1,,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
,1,,CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O
,1,,CC(C)C1=C(C(=C2C(=C1)[C@@H]3C[C@@H]4[C@@]2(CCCC4(C)C)C(=O)O3)O)O
,1,,C1=CC=C2C(=C1)C=NN=C2NN
,1,,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
,1,,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O
,1,,C1(C(=O)NC(=O)N1)NC(=O)N
,1,,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O
,1,,CN(C1CCCCC1)C(=O)N2C=C(N=C2)C3=CN=CC=C3
,1,,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
,1,,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC
,1,,C([C@@H](C(=O)O)N)O
,1,,C[C@@H]1C[C@@H]2[C@H](O2)/C=C\C=C\C(=O)CC3=C(C(=CC(=C3Cl)O)O)C(=O)O1
,1,,C1=CC(=CC=C1/C=C\2/C(=O)C3=C(O2)C=C(C=C3)O)O
,1,,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N
,1,,C[C@]12CC[C@H]3C(=CC(=O)[C@H](O3)C(C)(C)O)[C@@]1(CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)O
,1,,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
,1,,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
,1,,C1=CC=C(C=C1)CCCCOC2=C3C=CC(=O)OC3=CC4=C2C=CO4
,1,,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O
,0,,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
,0,,CCCCCC1C(=O)CCC1CC(=O)O
,0,,Cc1cc(=O)n(-c2ccccc2)n1C
,0,,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
,0,,O=c1ccc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)cc2o1
,0,,Nc1ccc(C(=O)O)cc1
,0,,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
,0,,Nc1ccc(C(=O)O)c(O)c1
,0,,CS(=O)(=O)OCCCCOS(C)(=O)=O
,0,,CCCc1cc(C(N)=S)ccn1
,0,,O=c1cc[nH]c(=S)[nH]1
,0,,CC(COc1ccc(C=Cc2ccccc2)cc1)[N+](C)(C)C
,0,,CCCCCCCCCC(=O)NC(CN1CCOCC1)C(O)c1ccccc1
,0,,CC[N+](CC)(CC)CC
,0,,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C
,0,,Cc1cc(=[NH2+])c2ccccc2n1CCCCCCCCCCn1c(C)cc(=[NH2+])c2ccccc21
,0,,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1
,0,,C[N+]1(C)CCN(c2ccccc2)CC1
,0,,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12
,0,,Cc1nccc2c1[nH]c1ccccc12
,0,,Nc1ccc(-c2nc3ccc(-c4nc5ccc(N)cc5[nH]4)cc3[nH]2)cc1
,0,,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1
,0,,CC(N)Cc1cnc[nH]1
,0,,Cc1cn[nH]c1
,0,,CCCN1CCCC2Cc3[nH]ncc3CC21
,0,,CC1(C)CCC=[N+]1[O-]
,0,,C[N+](C)(C)CC=O
,0,,O=C1OC(=CBr)CCC1c1cccc2ccccc12
,0,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C=CBr
,0,,CCN(CC)c1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(Br)(Br)P(=O)(O)O)C(O)C1O
,0,,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12
,0,,O=[N+]([O-])c1cccc2c(Br)[nH]nc12
,0,,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
,0,,CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1
,0,,Brc1c(Br)c(Br)c2n[nH]nc2c1Br
,0,,CC(N)CN1CCc2ccc(Br)cc21
,0,,O=c1onc2n1-c1cc(Br)ccc1OC2
,0,,O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12
,0,,Brc1ccc(C2CN3CCSC3=N2)cc1
,0,,CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1
,0,,O=S(=O)(NCCNCC=Cc1ccc(Br)cc1)c1cccc2cnccc12
,0,,CC[N+](C)(C)Cc1ccccc1Br
,0,,CCN(CCCl)Cc1ccccc1Br
,0,,Nc1nc2c(nc(Br)n2C2OC3COP(=O)(O)OC3C2O)c(=O)[nH]1
,0,,Nc1ncnc2c1nc(Br)n2C1OC2COP(=O)(O)OC2C1O
,0,,C=CCc1ccccc1OCC(O)CNC1(C)CCCC(C(C)(C)NC(=O)CBr)C1
,0,,C[N+](C)(C)CCOC(=O)CBr
,0,,CC(=O)NBr
,0,,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O
,0,,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1
,0,,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O
,0,,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2c(Cl)cc(Cl)cn12
,0,,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO
,0,,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
,0,,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
,0,,CC(N)c1cccc(Cl)c1Cl
,0,,CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl
,0,,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
,0,,CC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
,0,,CCCCC1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O
,0,,O=C(O)C(=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccccc1
,0,,CN1CCc2c(cc(O)c(O)c2Cl)C(c2cccc(Cl)c2)C1
,0,,O=C(O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1
,0,,CN1CCc2cccc(Cl)c2CC1
,0,,CC1C(=O)NC2=Nc3cccc(Cl)c3CN21
,0,,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O
,0,,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
,0,,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1
,0,,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
,0,,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
,0,,CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC
,0,,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1
,0,,CCCCN1CCC(COC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1
,0,,CN1C2CCC1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2
,0,,CN(CCCl)Cc1cc(Cl)c(NC2=NCCN2)c(Cl)c1
,0,,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCN(CC)C2)c1O
,0,,CC(Cc1ccc2c(c1)OC(C(=O)O)(C(=O)O)O2)NCC(O)c1cccc(Cl)c1
,0,,CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1cccc(Cl)c1
,0,,Cn1c(=O)c2c(nc(C=Cc3cccc(Cl)c3)n2C)n(C)c1=O
,0,,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
,0,,CNC1CC(c2ccc(Cl)c(Cl)c2)c2ccccc21
,0,,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21
,0,,CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1
,0,,NC(=NCc1ccc(Cl)c(Cl)c1)NC(=O)c1nc(Cl)c(N)nc1N
,0,,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1cccc(OCC(=O)O)c1
,0,,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCC2(CCCO2)CC1N1CCCC1
,0,,COC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1
,0,,O=C(Cc1ccc(Cl)c(Cl)c1)OCCN1CCCC1
,0,,CCN1CCCC1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
,0,,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4C)O3)cc2)CC1
,0,,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21
,0,,Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1
,0,,C#CCN(C)CCCOc1ccc(Cl)cc1Cl
,0,,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1
,0,,Nc1ccc(N2C(=O)c3ccccc3C2=O)c(Cl)c1
,0,,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12
,0,,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1
,0,,CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21
,0,,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
,0,,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
,0,,CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1
,0,,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
,0,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
,0,,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
,0,,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
,0,,CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc21
,0,,CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21
,0,,Cc1cc2c(cc1Cl)N(C(=O)Nc1cccc3ncccc13)CC2
,0,,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
,0,,OCC1OC(c2nc3cc(Cl)c(Cl)cc3[nH]2)C(O)C1O
,0,,O=C(O)c1cc(=O)c2ccc(Cl)cc2[nH]1
,0,,O=c1[nH]c2cc(Cl)c(Cl)cc2[nH]c1=O
,0,,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1
,0,,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1
,0,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
,0,,O=c1[nH]c2cc(Cl)ccc2o1
,0,,CC(Oc1ccc(Oc2cnc3ccc(Cl)cc3n2)cc1)C(=O)O
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
,0,,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
,0,,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
,0,,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
,0,,Cc1nc(N=Nc2cc([N+](=O)[O-])ccc2Cl)c(COP(=O)(O)O)c(C=O)c1O
,0,,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl
,0,,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1
,0,,O=C(O)C=CC(O)c1ccc(Cl)cc1
,0,,NCC(CC(=O)O)c1ccc(Cl)cc1
,0,,NCC(CP(=O)(O)O)c1ccc(Cl)cc1
,0,,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
,0,,COc1cccc(NC(=O)C=Cc2ccc(Cl)cc2)c1
,0,,O=C(NC1CN2CCC1CC2)c1ccc(Cl)cc1
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
,0,,NCC(O)(CS(=O)(=O)O)c1ccc(Cl)cc1
,0,,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
,0,,NC(Cc1ccc(Cl)cc1)C(=O)O
,0,,COC(=O)C(N)Cc1ccc(Cl)cc1
,0,,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1
,0,,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
,0,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
,0,,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1
,0,,Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2
,0,,CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1
,0,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Cl)cc1
,0,,CN(C)CCOC(=O)COc1ccc(Cl)cc1
,0,,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
,0,,Nc1ncnc2c1nc(Sc1ccc(Cl)cc1)n2C1OC2COP(=O)(O)OC2C1O
,0,,C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl
,0,,Fc1ccc(CN(C2=NCCN2)c2c(Cl)cccc2Cl)cc1
,0,,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
,0,,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1
,0,,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
,0,,CC(C)(C)NCC(O)c1ccccc1Cl
,0,,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
,0,,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C
,0,,CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl
,0,,CC(C)CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl
,0,,NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N
,0,,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1O
,0,,Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O
,0,,Nc1c(S(=O)(=O)O)cc(Nc2ccc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)O)c4)n3)c(S(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O
,0,,COc1nc(C)nc(Cl)c1NC1=NCCN1
,0,,Clc1nccc2c1ccc1ccccc12
,0,,Clc1ccc(N2CC3CCC(C2)N3)nn1
,0,,O=C(NC(Cc1ccccc1)C(=O)CCl)OCc1ccccc1
,0,,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)CCl)cc1
,0,,Cc1ccc(S(=O)(=O)NC(CCCCN)C(=O)CCl)cc1
,0,,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
,0,,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
,0,,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
,0,,CC(=O)OCCN(C)CCCl
,0,,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1
,0,,O=NN(CCCl)C(=O)NCCCl
,0,,O=[N+]([O-])c1ccc(OC2OC(CO)C(O)C(O)C2F)c([N+](=O)[O-])c1
,0,,FC(F)(F)c1cc(COC2CCCNC2c2ccccc2)cc(C(F)(F)F)c1
,0,,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1
,0,,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
,0,,O=c1[nH]c2cc(C(F)(F)F)ccc2n1-c1cc(C(F)(F)F)ccc1O
,0,,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
,0,,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
,0,,CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1
,0,,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
,0,,Cc1nnc2cc(-c3ccc(C(F)(F)F)cc3)cnn12
,0,,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
,0,,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)O
,0,,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
,0,,FC(F)(F)c1ccccc1-n1ccnc1
,0,,COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F
,0,,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1
,0,,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
,0,,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F
,0,,CC1OC(n2cc(F)c(=O)[nH]c2=O)C(O)C1O
,0,,O=c1[nH]cc(F)c(=O)[nH]1
,0,,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F
,0,,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
,0,,CCCN(CCC)C1CCc2c(F)ccc(O)c2C1
,0,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21
,0,,CC(C)C1c2ccc(F)cc2CCC1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1
,0,,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cc(F)cc(-c3cccnc3)c1)CC2
